"Label";"SA-WDA industrial production index (base 100 in 2021) - Manufacture of agricultural and forestry machinery (NAF rev. 2, level Group, item 28.3)";"Codes"
"idBank";"010768110";""
"Last update";"04/04/2025 08:45";""
"Period";"";""
"2025-02";"73.02";"A"
"2025-01";"67.97";"A"
"2024-12";"76.87";"A"
"2024-11";"85.67";"A"
"2024-10";"71.93";"A"
"2024-09";"75.65";"A"
"2024-08";"83.31";"A"
"2024-07";"76.13";"A"
"2024-06";"71.57";"A"
"2024-05";"79.85";"A"
"2024-04";"89.11";"A"
"2024-03";"84.63";"A"
"2024-02";"104.51";"A"
"2024-01";"99.74";"A"
"2023-12";"99.2";"A"
"2023-11";"109.87";"A"
"2023-10";"111.8";"A"
"2023-09";"108.36";"A"
"2023-08";"112.01";"A"
"2023-07";"111.49";"A"
"2023-06";"119.56";"A"
"2023-05";"119.03";"A"
"2023-04";"120.05";"A"
"2023-03";"124.66";"A"
"2023-02";"122.93";"A"
"2023-01";"127.77";"A"
"2022-12";"125.04";"A"
"2022-11";"116.91";"A"
"2022-10";"111.09";"A"
"2022-09";"119.52";"A"
"2022-08";"110.32";"A"
"2022-07";"109.92";"A"
"2022-06";"120.72";"A"
"2022-05";"105.17";"A"
"2022-04";"99.4";"A"
"2022-03";"101.94";"A"
"2022-02";"92.22";"A"
"2022-01";"90.66";"A"
"2021-12";"139.83";"A"
"2021-11";"76.84";"A"
"2021-10";"96.38";"A"
"2021-09";"111.89";"A"
"2021-08";"94.04";"A"
"2021-07";"100.84";"A"
"2021-06";"93.69";"A"
"2021-05";"97.55";"A"
"2021-04";"94.6";"A"
"2021-03";"97.11";"A"
"2021-02";"94.05";"A"
"2021-01";"103.17";"A"
"2020-12";"94.35";"A"
"2020-11";"100.57";"A"
"2020-10";"101.53";"A"
"2020-09";"96.1";"A"
"2020-08";"104.83";"A"
"2020-07";"102.72";"A"
"2020-06";"100.24";"A"
"2020-05";"80.35";"A"
"2020-04";"29.58";"A"
"2020-03";"45.24";"A"
"2020-02";"96.83";"A"
"2020-01";"91.03";"A"
"2019-12";"99.62";"A"
"2019-11";"106.03";"A"
"2019-10";"83.82";"A"
"2019-09";"94.45";"A"
"2019-08";"94.0";"A"
"2019-07";"99.02";"A"
"2019-06";"97.34";"A"
"2019-05";"103.33";"A"
"2019-04";"107.02";"A"
"2019-03";"100.09";"A"
"2019-02";"108.91";"A"
"2019-01";"103.82";"A"
"2018-12";"96.2";"A"
"2018-11";"100.34";"A"
"2018-10";"102.39";"A"
"2018-09";"113.88";"A"
"2018-08";"98.16";"A"
"2018-07";"121.77";"A"
"2018-06";"103.4";"A"
"2018-05";"86.99";"A"
"2018-04";"92.34";"A"
"2018-03";"96.84";"A"
"2018-02";"93.88";"A"
"2018-01";"91.22";"A"
"2017-12";"102.82";"A"
"2017-11";"97.05";"A"
"2017-10";"102.68";"A"
"2017-09";"99.92";"A"
"2017-08";"103.72";"A"
"2017-07";"101.34";"A"
"2017-06";"102.66";"A"
"2017-05";"103.21";"A"
"2017-04";"91.26";"A"
"2017-03";"86.23";"A"
"2017-02";"81.31";"A"
"2017-01";"75.05";"A"
"2016-12";"85.45";"A"
"2016-11";"84.2";"A"
"2016-10";"77.34";"A"
"2016-09";"81.12";"A"
"2016-08";"83.17";"A"
"2016-07";"83.92";"A"
"2016-06";"87.23";"A"
"2016-05";"89.2";"A"
"2016-04";"96.65";"A"
"2016-03";"91.01";"A"
"2016-02";"96.79";"A"
"2016-01";"102.99";"A"
"2015-12";"91.05";"A"
"2015-11";"93.39";"A"
"2015-10";"94.54";"A"
"2015-09";"95.76";"A"
"2015-08";"100.25";"A"
"2015-07";"82.5";"A"
"2015-06";"86.94";"A"
"2015-05";"91.55";"A"
"2015-04";"89.15";"A"
"2015-03";"95.12";"A"
"2015-02";"98.31";"A"
"2015-01";"100.17";"A"
"2014-12";"93.07";"A"
"2014-11";"96.93";"A"
"2014-10";"96.2";"A"
"2014-09";"101.51";"A"
"2014-08";"101.01";"A"
"2014-07";"100.99";"A"
"2014-06";"102.91";"A"
"2014-05";"90.32";"A"
"2014-04";"103.95";"A"
"2014-03";"110.08";"A"
"2014-02";"111.82";"A"
"2014-01";"116.49";"A"
"2013-12";"126.65";"A"
"2013-11";"116.61";"A"
"2013-10";"123.71";"A"
"2013-09";"106.41";"A"
"2013-08";"97.46";"A"
"2013-07";"124.54";"A"
"2013-06";"125.33";"A"
"2013-05";"125.05";"A"
"2013-04";"141.44";"A"
"2013-03";"118.85";"A"
"2013-02";"115.17";"A"
"2013-01";"112.39";"A"
"2012-12";"106.88";"A"
"2012-11";"113.34";"A"
"2012-10";"129.63";"A"
"2012-09";"110.96";"A"
"2012-08";"108.0";"A"
"2012-07";"111.91";"A"
"2012-06";"118.31";"A"
"2012-05";"116.24";"A"
"2012-04";"125.99";"A"
"2012-03";"129.13";"A"
"2012-02";"124.18";"A"
"2012-01";"123.61";"A"
"2011-12";"117.4";"A"
"2011-11";"127.35";"A"
"2011-10";"124.96";"A"
"2011-09";"131.28";"A"
"2011-08";"126.27";"A"
"2011-07";"123.09";"A"
"2011-06";"114.56";"A"
"2011-05";"121.23";"A"
"2011-04";"113.86";"A"
"2011-03";"107.07";"A"
"2011-02";"89.08";"A"
"2011-01";"100.24";"A"
"2010-12";"105.05";"A"
"2010-11";"94.27";"A"
"2010-10";"94.62";"A"
"2010-09";"106.23";"A"
"2010-08";"116.58";"A"
"2010-07";"95.58";"A"
"2010-06";"91.92";"A"
"2010-05";"86.82";"A"
"2010-04";"67.06";"A"
"2010-03";"67.05";"A"
"2010-02";"76.5";"A"
"2010-01";"79.57";"A"
"2009-12";"76.03";"A"
"2009-11";"71.71";"A"
"2009-10";"70.87";"A"
"2009-09";"65.32";"A"
"2009-08";"112.91";"A"
"2009-07";"81.43";"A"
"2009-06";"82.62";"A"
"2009-05";"80.04";"A"
"2009-04";"88.98";"A"
"2009-03";"114.33";"A"
"2009-02";"145.91";"A"
"2009-01";"150.47";"A"
"2008-12";"154.9";"A"
"2008-11";"186.46";"A"
"2008-10";"165.37";"A"
"2008-09";"141.77";"A"
"2008-08";"127.31";"A"
"2008-07";"136.24";"A"
"2008-06";"143.02";"A"
"2008-05";"151.66";"A"
"2008-04";"181.86";"A"
"2008-03";"158.63";"A"
"2008-02";"147.59";"A"
"2008-01";"111.18";"A"
"2007-12";"137.68";"A"
"2007-11";"150.76";"A"
"2007-10";"139.47";"A"
"2007-09";"135.69";"A"
"2007-08";"119.8";"A"
"2007-07";"137.81";"A"
"2007-06";"139.16";"A"
"2007-05";"138.59";"A"
