"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Préparation de jus de fruits et légumes (NAF rév. 2, niveau classe, poste 10.32)";"Codes"
"idBank";"010767621";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"90.3";"A"
"2025-01";"90.54";"A"
"2024-12";"96.84";"A"
"2024-11";"91.88";"A"
"2024-10";"82.97";"A"
"2024-09";"90.77";"A"
"2024-08";"87.57";"A"
"2024-07";"91.49";"A"
"2024-06";"91.34";"A"
"2024-05";"97.57";"A"
"2024-04";"99.35";"A"
"2024-03";"99.15";"A"
"2024-02";"100.01";"A"
"2024-01";"102.66";"A"
"2023-12";"100.87";"A"
"2023-11";"103.31";"A"
"2023-10";"103.54";"A"
"2023-09";"101.33";"A"
"2023-08";"109.69";"A"
"2023-07";"100.06";"A"
"2023-06";"104.87";"A"
"2023-05";"101.77";"A"
"2023-04";"99.85";"A"
"2023-03";"102.82";"A"
"2023-02";"102.28";"A"
"2023-01";"101.86";"A"
"2022-12";"104.09";"A"
"2022-11";"108.39";"A"
"2022-10";"110.02";"A"
"2022-09";"114.86";"A"
"2022-08";"110.56";"A"
"2022-07";"110.57";"A"
"2022-06";"108.72";"A"
"2022-05";"100.9";"A"
"2022-04";"105.59";"A"
"2022-03";"107.08";"A"
"2022-02";"108.69";"A"
"2022-01";"105.03";"A"
"2021-12";"103.89";"A"
"2021-11";"102.52";"A"
"2021-10";"107.54";"A"
"2021-09";"100.83";"A"
"2021-08";"101.52";"A"
"2021-07";"101.43";"A"
"2021-06";"96.94";"A"
"2021-05";"95.65";"A"
"2021-04";"97.0";"A"
"2021-03";"102.4";"A"
"2021-02";"94.18";"A"
"2021-01";"96.1";"A"
"2020-12";"102.05";"A"
"2020-11";"122.79";"A"
"2020-10";"122.9";"A"
"2020-09";"132.8";"A"
"2020-08";"115.79";"A"
"2020-07";"115.1";"A"
"2020-06";"113.88";"A"
"2020-05";"112.51";"A"
"2020-04";"113.8";"A"
"2020-03";"112.52";"A"
"2020-02";"120.3";"A"
"2020-01";"116.5";"A"
"2019-12";"113.91";"A"
"2019-11";"111.78";"A"
"2019-10";"114.57";"A"
